Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
185179,MADHYA PRADESH,1972,10 ATTAIR,7 HARIGYAN SINGH BOHARE,M,null,null,SOP,2365
185180,MADHYA PRADESH,1972,10 ATTAIR,8 DEVENDRA SINGH CHAUHAN,M,null,null,IND,357
185181,MADHYA PRADESH,1972,10 ATTAIR,9 GIRWAR SINGH,M,null,null,IND,129
185182,MADHYA PRADESH,1972,11 BHIND,1 NAVIN CHANDRA BHOOTA,M,null,null,INC,23219
185183,MADHYA PRADESH,1972,11 BHIND,2 RAGH BIR SINGH KUSHAWAH,M,null,null,SOP,14431
185184,MADHYA PRADESH,1972,11 BHIND,3 DILIP SINGH,M,null,null,IND,9750
185185,MADHYA PRADESH,1972,11 BHIND,4 SHYAM BABOO,M,null,null,IND,1554
185186,MADHYA PRADESH,1972,11 BHIND,5 BABOO RAM,M,null,null,IND,940
185187,MADHYA PRADESH,1972,11 BHIND,6 SWAROOP CHAND JAIN,M,null,null,IND,893
185188,MADHYA PRADESH,1972,11 BHIND,7 SEWA RAM,M,null,null,IND,529
185189,MADHYA PRADESH,1972,11 BHIND,8 SOPATI,M,null,null,IND,258
185190,MADHYA PRADESH,1972,11 BHIND,9 GUNDHARI,M,null,null,IND,177
185191,MADHYA PRADESH,1972,12 RON,1 RASAL SINGH,M,null,null,BJS,15504
185192,MADHYA PRADESH,1972,12 RON,2 SOWARAN SINGH PARMAR,M,null,null,INC,5327
185193,MADHYA PRADESH,1972,12 RON,3 DAYA RAM,M,null,null,IND,4288
185194,MADHYA PRADESH,1972,12 RON,4 GOKUL PRASAD,M,null,null,IND,3726
185195,MADHYA PRADESH,1972,12 RON,5 RAGHURAJ SINGH KUSHAWAH,M,null,null,IND,2791
185196,MADHYA PRADESH,1972,12 RON,6 RAM MANOHAR,M,null,null,IND,2684
185197,MADHYA PRADESH,1972,12 RON,7 MAHADEO SINGH,M,null,null,IND,1997
185198,MADHYA PRADESH,1972,12 RON,8 KESHAW DATT THAPAK,M,null,null,IND,1312
185199,MADHYA PRADESH,1972,13 LAHAR,1 RAGHAVRAM CHAUDHARY,M,null,null,INC,14550
185200,MADHYA PRADESH,1972,13 LAHAR,2 PRABHU DAYAL TRIPATHI,M,null,null,BJS,14135
185201,MADHYA PRADESH,1972,13 LAHAR,3 NAWAB SINGH,M,null,null,IND,5494
185202,MADHYA PRADESH,1972,13 LAHAR,4 CHHAKKOO LAL,M,null,null,IND,5206
185203,MADHYA PRADESH,1972,13 LAHAR,5 ABDULLAH,M,null,null,IND,532
185204,MADHYA PRADESH,1972,13 LAHAR,6 SHIV NARAYAN,M,null,null,IND,259
185205,MADHYA PRADESH,1972,14 GWALIOR,1 SRRVATE RAMCHANDRA,M,null,null,CPI,25396
185206,MADHYA PRADESH,1972,14 GWALIOR,2 JAGDISH GUPTA,M,null,null,BJS,22264
185207,MADHYA PRADESH,1972,14 GWALIOR,3 NATH,M,null,null,NCO,1184
185208,MADHYA PRADESH,1972,14 GWALIOR,4 SAKHARAM DANDVATE,M,null,null,HMS,891
185209,MADHYA PRADESH,1972,14 GWALIOR,5 BHIKAMSINGH,M,null,null,SOP,555
185210,MADHYA PRADESH,1972,15 LASHKAR,1 SITILA SAHAI,M,null,null,BJS,22858
185211,MADHYA PRADESH,1972,15 LASHKAR,2 ANAND SWAROOP MISHRA,M,null,null,INC,14872
185212,MADHYA PRADESH,1972,15 LASHKAR,3 D. SADASHIV PARCHURE,M,null,null,HMS,4247
185213,MADHYA PRADESH,1972,15 LASHKAR,4 BALRAM,M,null,null,IND,671
185214,MADHYA PRADESH,1972,15 LASHKAR,5 FAGUNGMLA SAWALDAS,M,null,null,IND,398
185215,MADHYA PRADESH,1972,15 LASHKAR,6 SURESH AGNIHOTRI,M,null,null,IND,244
185216,MADHYA PRADESH,1972,15 LASHKAR,7 ROOPKISHOR SINGAL,M,null,null,NCO,235
